eid	pid	name	entity
0	497736	social-psychology	497736
1	27696	introductory-psychology	27696
2	992220	international-politics-online-course	992220
3	508508	amazing-psychology-experiments	508508
4	1054944	advanced-psychology	1054944
5	13391	the-neuroscience-of-reframing-and-how-to-do-it	13391
6	544860	learn-social-psychology-fundamentals	544860
7	832750	level-1-intelligence-analyst-certification	832750
8	509618	5-amazing-psychology-experiments	509618
9	638604	egg-timer-economics	638604
10	334760	introduccion-a-los-derechos-humanos	334760
11	543210	social-psychology-self-esteem	543210
12	941340	igualdad-de-genero-y-diversidad-sexual	941340
13	916488	statistics-explained-easy	916488
14	207990	introduction-to-human-rights	207990
15	905198	learn-psychology-why-we-think-feel-and-act-the-way-we-do	905198
16	941282	gender-equality-and-sexual-diversity	941282
17	882610	level-2-intelligence-analyst-certification	882610
18	737722	economics-behavior-of-buyers-and-sellers	737722
19	592918	transparencia-y-anti-corrupcion	592918
20	133428	accounting101	133428
21	394064	learn-english-law	394064
22	1174664	exam-technique-crash-course-20-top-tips	1174664
23	598086	magical-thinking-development-and-applications	598086
24	595070	transparency-and-anti-corruption	595070
25	578030	criminal-investigation-in-the-new-millennium	578030
26	12999	perspectives-on-contemporary-american-democracy	12999
27	646790	insights-into-cybercrime-and-electronic-evidence	646790
28	659368	data-science-logistic-regression-in-python	659368
29	1388972	careers-in-data-science-a-ztm	1388972
30	556954	data-science-linear-regression-in-python	556954
31	116286	statshelp	116286
32	117490	calculus1	117490
33	655940	analog-electronics-robotics-learn-by-building	655940
34	218794	integralcalc-algebra	218794
35	798018	trig-by-krista-king	798018
36	128298	calculus-2	128298
37	830298	scratch-game-programming	830298
38	1137266	learn-applied-statistics	1137266
39	128300	calculus-3	128300
40	1148732	algebracourse7245	1148732
41	762768	core-spatial-data-analysis-with-r-and-qgis	762768
42	1072494	statistics-course	1072494
43	221578	fundamentals-of-math	221578
44	805326	differentiation-and-integration-rules	805326
45	1205354	applied-statistical-modeling-for-data-analysis-in-r	1205354
46	380630	linear-algebra-an-introduction	380630
47	276904	geometry-basics	276904
48	600508	digital-signal-processing-with-matlab	600508
49	442896	learn-scada-in-a-day-starting-from-scratch	442896
50	973752	random-variables-probability-distributions	973752
51	379644	cryptography	379644
52	1292702	algebra-boot-camp	1292702
53	88718	quantum-physics	88718
54	487490	machlearn1	487490
55	499086	machlearn2	499086
56	32939	astronomy-state-of-the-art	32939
57	630112	linear-algebra-for-beginners-open-doors-to-great-careers-2	630112
58	16170	math-is-everywhere-applications-of-finite-math	16170
59	406814	how-to-pass-ap-statistics-college-statistics-probability	406814
60	1166824	machine-learning-and-deep-learning-for-arabs	1166824
61	1171722	calculus-part-1-functions	1171722
62	858430	pso-in-matlab	858430
63	599570	a-complete-first-course-in-differential-equations	599570
64	627692	discrete-mathematics-open-doors-to-great-careers	627692
65	382606	linearalgebra	382606
66	689198	statistical-problem-solving-in-geography	689198
67	197052	fun-with-beginner-lego-mindstorms-ev3-robotics	197052
68	614832	discrete-math	614832
69	112704	algebraforalevelmaths	112704
70	822090	physics-intro-to-electricity-magnetism	822090
71	1180736	master-math-fundamentals	1180736
72	270596	numbertheory	270596
73	430460	introduction-to-statistics	430460
74	662664	5-brief-lessons-on-the-study-of-life	662664
75	523362	basic-hydrology	523362
76	85958	chemistry-101-part-4-chemistry-in-society	85958
77	71382	geology-earth-science-for-everyone	71382
78	307510	andrew-wiles-the-theory-of-numbers	307510
79	557882	geometry-unit-1-introduction-to-logic	557882
80	835878	rail-vehicle-engineering-101	835878
81	19613	lookatphysics	19613
82	479712	math-how-to-factor	479712
83	33215	march-mathness	33215
84	135420	astronomy-for-vce-physics	135420
85	12943	elixir-a-history-of-water-and-humans	12943
86	617922	hsegedtaschiset-prep-unit-1-arithmetic	617922
87	673472	physics-master-2d-torque-in-record-time	673472
88	281308	statistics-1	281308
89	559144	introduction-to-trigonometry-algebra-2-unit-1	559144
90	276360	basic-geometry-made-easy	276360
91	611216	geometry-basics-geometry-unit-2	611216
92	480344	matrices-y-sistemas-de-ecuaciones-algebra-lineal	480344
93	43540	critical-thinker-academy	43540
94	1048008	paul-and-his-letter-to-the-ephesians	1048008
95	466208	paul-and-his-letter-to-the-galatians	466208
96	693138	simply-jesus	693138
97	374962	creative-writing-success-write-a-novel-outline-from-scratch	374962
98	259292	writenow	259292
99	858678	the-day-the-revolution-began	858678
100	1048016	the-resurrection-of-the-son-of-god	1048016
101	693120	paul-and-his-letter-to-the-romans-part-one	693120
102	1164384	forensic-psychology	1164384
103	147260	write-short-stories	147260
104	466664	simply-good-news	466664
105	628890	paul-and-his-letter-to-the-philippians	628890
106	858578	paul-and-his-letter-to-philemon	858578
107	858576	paul-and-his-letter-to-the-romans-part-two-romans-6-11	858576
108	1123224	depression-diploma	1123224
109	1048018	the-acts-of-the-apostles	1048018
110	466670	worldviews-the-bible-and-the-believer	466670
111	858666	paul-and-his-letter-to-the-romans-part-three	858666
112	291674	write-stories-with-a-twist	291674
113	291766	escribir-un-ensayo	291766
114	286194	academic-writing-101	286194
115	823100	fairytales	823100
116	741508	essay-essentials-improve-your-academic-writing	741508
117	815474	upgrade-your-mindware	815474
118	373546	yin-yang-philosophy-101	373546
119	307162	the-fossil-record-and-evolution	307162
120	452650	why-are-you-alive	452650
121	289938	introduction-to-fallacies-how-to-spot-poor-reasoning	289938
122	707016	introduction-to-the-middle-ages	707016
123	19112	art-history-survey-prehistory-to-1300	19112
124	164958	napoleon-in-egypt	164958
125	265344	hernando-cortes	265344
126	201926	operation-drumbeat	201926
127	268384	battle-of-the-crater	268384
128	114810	heinrich-schliemann	114810
129	12892	brazil-for-beginners	12892
130	96160	spanish-conquistadors-in-la-florida	96160
131	164972	the-rms-lusitania	164972
132	41149	the-early-protestant-reformation	41149
133	390980	jane-austen	390980
134	577580	us-history-1930-2000	577580
135	583726	germany1919-1947	583726
136	128326	victory-or-death	128326
137	244414	formacion-ciudadana-y-liderazgo	244414
138	558620	beijings-inner-city-gate	558620
139	308690	forex-trading	308690
140	888716	introduction-to-accounting-finance-modeling-valuation-by-chris-haroun	888716
141	321410	beginner-to-pro-in-excel-financial-modeling-and-valuation	321410
142	1035472	python-for-finance-investment-fundamentals-data-analytics	1035472
143	965832	the-complete-investment-banking-course-2016	965832
144	648826	the-complete-financial-analyst-course	648826
145	1202988	the-complete-financial-analyst-training-and-investing-course	1202988
146	301442	build-your-trading-robot	301442
147	1154754	financial-modeling-for-startups-small-businesses	1154754
148	627540	work-from-home-setup-your-own-options-trading-business	627540
149	1247394	cryptocurrency-trading	1247394
150	1282650	cryptosomniac	1282650
151	640100	accounting-fsa-a-solid-foundation-for-a-career-in-finance	640100
152	260470	backtesting	260470
153	1293894	cryptocurrency-bitcoin-ethereum	1293894
154	985922	excel-crash-course-master-excel-for-financial-analysis	985922
155	165964	stock-trading-ninja-learn-how-to-make-money-trading-stocks	165964
156	258232	learn-mql4	258232
157	855172	hedge-fund-mutual-fund-careers-the-complete-guide-how-to-pick-stocks	855172
158	765562	financial-markets-a-to-z-for-beginners	765562
159	43319	learn-options-trading-courses	43319
160	408440	how-to-win-97-percent-of-your-trades	408440
161	859742	ethereum	859742
162	308694	money-management	308694
163	920604	intro-to-financial-modeling	920604
164	918688	how-i-make-15-per-month-trading-options	918688
165	380970	bitcoin-for-beginners	380970
166	401784	how-to-trade-stock-options-level-1-start-day-trading	401784
167	199450	elite-trend-trader-how-to-make-a-fortune-trading-the-trend	199450
168	1170894	algorithmic-stock-trading-bootcamp-automate-your-trading	1170894
169	383414	powerpoint-master-class-for-business-and-finance-graduates	383414
170	285638	introduction-to-japanese-candlesticks	285638
171	447362	create-your-own-hedge-fund-double-your-money-every-year	447362
172	353044	online-investing-guide	353044
173	311870	tools-for-trading-investing	311870
174	831066	learn-mql5	831066
175	1282106	ripple-coin-cryptocurrency	1282106
176	1303001	accountingintroduction	1303001
177	746432	professional-stock-trader	746432
178	434774	trading-stock-options-ii-simplified-strategies-for-success	434774
179	1296994	the-complete-cryptocurrency-investing-course-for-beginners	1296994
180	709500	forex-trading-learn-the-same-strategies-used-by-banks	709500
181	284118	forex-vps	284118
182	1246208	ethereum1	1246208
183	948974	the-forex-robot-1000-annual-profit-robot-included	948974
184	325834	trading-stocks-successfully-introduction-to-stock-trading	325834
185	551968	stock-market-millionaire-blueprint	551968
186	596598	basic-excel-for-basic-bookkeeping	596598
187	1303868	bitcoin-ripple	1303868
188	302562	learnaccountingforfree	302562
189	848664	complete-course-introduction-to-option-trading	848664
190	1210498	winning-option-strategies-for-any-market	1210498
191	192870	trading-penny-stocks-a-guide-for-all-levels	192870
192	411168	trading-inside-bars-find-setups-today-make-money-tomorrow	411168
193	1018380	forex-trading-like-banks-step-by-step-with-live-examples	1018380
194	403100	trading-chart-patterns-for-immediate-explosive-gains	403100
195	571730	invierte-en-la-bmv	571730
196	153210	learn-accounting-understand-business	153210
197	834836	winningstocktrades	834836
198	592338	trading-with-amazons-aws-servers-trade-secrets-of-the-pros	592338
199	308696	metatrader4	308696
200	504036	short-selling-learn-to-sell-before-the-fall	504036
201	58977	intro-to-financial-statements-for-entrepreneurs	58977
202	739390	financial-planning-analysis-building-a-companys-budget	739390
203	719698	learn-basic-technical-analysis	719698
204	502772	value-investing-essential-guide-to-picking-stocks	502772
205	382204	learn-how-to-successfully-trade-stocks-in-5-simple-steps	382204
206	1006314	financial-modeling-for-business-analysts-and-consultants	1006314
207	739964	investing-and-trading-for-beginners-mastering-price-charts	739964
208	564966	make-money-trading-stocks-from-home	564966
209	1080466	curso-bitcoin	1080466
210	824592	basic-bookkeeping	824592
211	1011058	how-to-maximize-your-profits-trading-options	1011058
212	252396	how-to-make-5000month-trading-penny-stocks	252396
213	796450	personal-budget	796450
214	215728	shark-accounting	215728
215	951050	trading-options-for-consistent-returns-calendar-spreads	951050
216	1070886	python-algo-trading-fx-trading-with-oanda	1070886
217	317030	learn-how-to-double-your-forex-trading-account-in-one-trade	317030
218	214046	option-trading-for-rookies-investing-the-profitable-way	214046
219	373716	basics-of-international-finance	373716
220	798740	launch-your-amazing-forex-robot-in-30-minutes-no-coding	798740
221	975046	trading-options-using-money-flow	975046
222	860890	options-greeks	860890
223	489146	practical-finance	489146
224	116128	cpa-marketing-101	116128
225	474150	technical-analysis-tools-for-stock-trading-and-options-trading	474150
226	910650	forex-trading-comprehensive-concise-forex-trading-course	910650
227	543242	learn-to-trade-the-news	543242
228	891484	forex-trading-advanced-fundamental-analysis	891484
229	256200	penny-stock-trading-analyzing-the-most-profitable-stocks	256200
230	48841	accounting-in-60-minutes-a-brief-introduction	48841
231	233900	trading-penny-stocks-advanced-strategies	233900
232	441112	accounting-through-visual-presentation	441112
233	236080	forex-trading-with-the-elliot-wave-theory	236080
234	43441	master-technical-analysis-and-chart-reading-skills-bundle	43441
