entity_head	relation	entity_tail
0	0	8196
0	0	8197
1	0	8196
1	0	8197
2	0	8196
2	0	8197
3	0	8196
3	0	8197
4	0	8196
4	0	8197
5	0	8196
5	0	8197
6	0	8196
6	0	8197
7	0	8196
7	0	8197
8	0	8196
8	0	8197
9	0	8196
9	0	8197
10	0	8196
10	0	8197
11	0	8196
11	0	8197
12	0	8196
12	0	8197
13	0	8196
13	0	8197
14	0	8196
14	0	8197
15	0	8196
15	0	8197
16	0	8196
16	0	8197
17	0	8196
17	0	8197
18	0	8196
18	0	8197
19	0	8196
19	0	8197
20	0	8196
20	0	8197
21	0	8196
21	0	8197
22	0	8196
22	0	8197
23	0	8196
23	0	8197
24	0	8196
24	0	8197
25	0	8196
25	0	8197
26	0	8196
26	0	8197
27	0	8196
27	0	8197
28	0	8196
28	0	8198
29	0	8196
29	0	8198
30	0	8196
30	0	8198
31	0	8196
31	0	8198
32	0	8196
32	0	8198
33	0	8196
33	0	8198
34	0	8196
34	0	8198
35	0	8196
35	0	8198
36	0	8196
36	0	8198
37	0	8196
37	0	8198
38	0	8196
38	0	8198
39	0	8196
39	0	8198
40	0	8196
40	0	8198
41	0	8196
41	0	8198
42	0	8196
42	0	8198
43	0	8196
43	0	8198
44	0	8196
44	0	8198
45	0	8196
45	0	8198
46	0	8196
46	0	8198
47	0	8196
47	0	8198
48	0	8196
48	0	8198
49	0	8196
49	0	8198
50	0	8196
50	0	8198
51	0	8196
51	0	8198
52	0	8196
52	0	8198
53	0	8196
53	0	8198
54	0	8196
54	0	8198
55	0	8196
55	0	8198
56	0	8196
56	0	8198
57	0	8196
57	0	8198
58	0	8196
58	0	8198
59	0	8196
59	0	8198
60	0	8196
60	0	8198
61	0	8196
61	0	8198
62	0	8196
62	0	8198
63	0	8196
63	0	8198
64	0	8196
64	0	8198
65	0	8196
65	0	8198
66	0	8196
66	0	8198
67	0	8196
67	0	8198
68	0	8196
68	0	8198
69	0	8196
69	0	8198
70	0	8196
70	0	8198
71	0	8196
71	0	8198
72	0	8196
72	0	8198
73	0	8196
73	0	8198
74	0	8196
74	0	8198
75	0	8196
75	0	8198
76	0	8196
76	0	8198
77	0	8196
77	0	8198
78	0	8196
78	0	8198
79	0	8196
79	0	8198
80	0	8196
80	0	8198
81	0	8196
81	0	8198
82	0	8196
82	0	8198
83	0	8196
83	0	8198
84	0	8196
84	0	8198
85	0	8196
85	0	8198
86	0	8196
86	0	8198
87	0	8196
87	0	8198
88	0	8196
88	0	8198
89	0	8196
89	0	8198
90	0	8196
90	0	8198
91	0	8196
91	0	8198
92	0	8196
92	0	8198
93	0	8196
93	0	8199
94	0	8196
94	0	8199
95	0	8196
95	0	8199
96	0	8196
96	0	8199
97	0	8196
97	0	8199
98	0	8196
98	0	8199
99	0	8196
99	0	8199
100	0	8196
100	0	8199
101	0	8196
101	0	8199
102	0	8196
102	0	8199
103	0	8196
103	0	8199
104	0	8196
104	0	8199
105	0	8196
105	0	8199
106	0	8196
106	0	8199
107	0	8196
107	0	8199
108	0	8196
108	0	8199
109	0	8196
109	0	8199
110	0	8196
110	0	8199
111	0	8196
111	0	8199
112	0	8196
112	0	8199
113	0	8196
113	0	8199
114	0	8196
114	0	8199
115	0	8196
115	0	8199
116	0	8196
116	0	8199
117	0	8196
117	0	8199
118	0	8196
118	0	8199
119	0	8196
119	0	8199
120	0	8196
120	0	8199
121	0	8196
121	0	8199
122	0	8196
122	0	8199
123	0	8196
123	0	8199
124	0	8196
124	0	8199
125	0	8196
125	0	8199
126	0	8196
126	0	8199
127	0	8196
127	0	8199
128	0	8196
128	0	8199
129	0	8196
129	0	8199
130	0	8196
130	0	8199
131	0	8196
131	0	8199
132	0	8196
132	0	8199
133	0	8196
133	0	8199
134	0	8196
134	0	8199
135	0	8196
135	0	8199
136	0	8196
136	0	8199
137	0	8196
137	0	8199
138	0	8196
138	0	8199
139	0	8200
139	0	8201
140	0	8200
140	0	8201
141	0	8200
141	0	8201
142	0	8200
142	0	8201
143	0	8200
143	0	8201
144	0	8200
144	0	8201
145	0	8200
145	0	8201
146	0	8200
146	0	8201
147	0	8200
147	0	8201
148	0	8200
148	0	8201
149	0	8200
149	0	8201
150	0	8200
150	0	8201
151	0	8200
151	0	8201
152	0	8200
152	0	8201
153	0	8200
153	0	8201
154	0	8200
154	0	8201
155	0	8200
155	0	8201
156	0	8200
156	0	8201
157	0	8200
157	0	8201
158	0	8200
158	0	8201
159	0	8200
159	0	8201
160	0	8200
160	0	8201
161	0	8200
161	0	8201
162	0	8200
162	0	8201
163	0	8200
163	0	8201
164	0	8200
164	0	8201
165	0	8200
165	0	8201
166	0	8200
166	0	8201
167	0	8200
167	0	8201
168	0	8200
168	0	8201
169	0	8200
169	0	8201
170	0	8200
170	0	8201
171	0	8200
171	0	8201
172	0	8200
172	0	8201
173	0	8200
173	0	8201
174	0	8200
174	0	8201
175	0	8200
175	0	8201
176	0	8200
176	0	8201
177	0	8200
177	0	8201
178	0	8200
178	0	8201
179	0	8200
179	0	8201
180	0	8200
180	0	8201
181	0	8200
181	0	8201
182	0	8200
182	0	8201
183	0	8200
183	0	8201
184	0	8200
184	0	8201
185	0	8200
185	0	8201
186	0	8200
186	0	8201
187	0	8200
187	0	8201
188	0	8200
188	0	8201
189	0	8200
189	0	8201
190	0	8200
190	0	8201
191	0	8200
191	0	8201
192	0	8200
192	0	8201
193	0	8200
193	0	8201
194	0	8200
194	0	8201
195	0	8200
195	0	8201
196	0	8200
196	0	8201
197	0	8200
197	0	8201
198	0	8200
198	0	8201
199	0	8200
199	0	8201
200	0	8200
200	0	8201
201	0	8200
201	0	8201
202	0	8200
202	0	8201
203	0	8200
203	0	8201
204	0	8200
204	0	8201
205	0	8200
205	0	8201
206	0	8200
206	0	8201
207	0	8200
207	0	8201
208	0	8200
208	0	8201
209	0	8200
209	0	8201
210	0	8200
210	0	8201
211	0	8200
211	0	8201
212	0	8200
212	0	8201
213	0	8200
213	0	8201
214	0	8200
214	0	8201
215	0	8200
215	0	8201
216	0	8200
216	0	8201
217	0	8200
217	0	8201
218	0	8200
218	0	8201
219	0	8200
219	0	8201
220	0	8200
220	0	8201
221	0	8200
221	0	8201
222	0	8200
222	0	8201
223	0	8200
223	0	8201
224	0	8200
224	0	8201
225	0	8200
225	0	8201
226	0	8200
226	0	8201
227	0	8200
227	0	8201
228	0	8200
228	0	8201
229	0	8200
229	0	8201
230	0	8200
230	0	8201
231	0	8200
231	0	8201
232	0	8200
232	0	8201
233	0	8200
233	0	8201
234	0	8200
234	0	8201
235	0	8200
235	0	8201
236	0	8200
236	0	8201
237	0	8200
237	0	8201
238	0	8200
238	0	8201
239	0	8200
239	0	8201
240	0	8200
240	0	8201
241	0	8200
241	0	8201
242	0	8200
242	0	8201
243	0	8200
243	0	8201
244	0	8200
244	0	8201
245	0	8200
245	0	8201
246	0	8200
246	0	8201
247	0	8200
247	0	8201
248	0	8200
248	0	8201
249	0	8200
249	0	8201
250	0	8200
250	0	8201
251	0	8200
251	0	8201
252	0	8200
252	0	8201
253	0	8200
253	0	8201
254	0	8200
254	0	8201
255	0	8200
255	0	8201
256	0	8200
256	0	8201
257	0	8200
257	0	8201
258	0	8200
258	0	8201
259	0	8200
259	0	8201
260	0	8200
260	0	8201
261	0	8200
261	0	8201
262	0	8200
262	0	8201
263	0	8200
263	0	8201
264	0	8200
264	0	8201
265	0	8200
265	0	8201
266	0	8200
266	0	8201
267	0	8200
267	0	8201
268	0	8200
268	0	8201
269	0	8200
269	0	8201
270	0	8200
270	0	8201
271	0	8200
271	0	8201
272	0	8200
272	0	8201
273	0	8200
273	0	8201
274	0	8200
274	0	8201
275	0	8200
275	0	8201
276	0	8200
276	0	8201
277	0	8200
277	0	8201
