uid	gender	age
34039642	-1	-1
26079730	-1	-1
35306780	-1	-1
12445364	-1	-1
1530750	-1	-1
28491144	-1	-1
439054	-1	-1
30757446	-1	-1
19900498	-1	-1
31096044	-1	-1
26940656	-1	-1
8965514	-1	-1
32413078	-1	-1
28674052	-1	-1
25773646	-1	-1
21434422	-1	-1
30176240	-1	-1
31566732	-1	-1
20305342	-1	-1
26681746	-1	-1
26755932	-1	-1
18357532	-1	-1
17493636	-1	-1
20644710	-1	-1
13987068	-1	-1
351585	-1	-1
20664870	-1	-1
16032072	-1	-1
13215810	-1	-1
2931186	-1	-1
13959618	-1	-1
9373472	-1	-1
7694102	-1	-1
16689382	-1	-1
2879130	-1	-1
10537326	-1	-1
14253224	-1	-1
1368138	-1	-1
1516698	-1	-1
1758472	-1	-1
1128342	-1	-1
1026368	-1	-1
306401	-1	-1
425646	-1	-1
34352166	-1	-1
32518910	-1	-1
34077532	-1	-1
11970680	-1	-1
1047328	-1	-1
718550	-1	-1
7570815	-1	-1
21200510	-1	-1
2655406	-1	-1
22852360	-1	-1
16961502	-1	-1
19513520	-1	-1
35316228	-1	-1
34111984	-1	-1
34074050	-1	-1
21088650	-1	-1
31108710	-1	-1
31187124	-1	-1
30235368	-1	-1
29135406	-1	-1
23077888	-1	-1
26840266	-1	-1
17625698	-1	-1
17763438	-1	-1
24465324	-1	-1
12779122	-1	-1
635671	-1	-1
12225884	-1	-1
16933762	-1	-1
2922380	-1	-1
587499	-1	-1
33166884	-1	-1
36919727	-1	-1
2780474	-1	-1
818177	-1	-1
30112512	-1	-1
9167740	-1	-1
23397664	-1	-1
34729262	-1	-1
22786046	-1	-1
35509584	-1	-1
3155824	-1	-1
32766542	-1	-1
20974876	-1	-1
1258750	-1	-1
31564992	-1	-1
10248046	-1	-1
20383720	-1	-1
20383594	-1	-1
35121512	-1	-1
35112412	-1	-1
23468840	-1	-1
27064196	-1	-1
13802646	-1	-1
8105244	-1	-1
34964790	-1	-1
2360594	-1	-1
26131562	-1	-1
33863420	-1	-1
34128482	-1	-1
22739226	-1	-1
11870982	-1	-1
32587906	-1	-1
5882420	-1	-1
33718476	-1	-1
31116796	-1	-1
32748744	-1	-1
29598012	-1	-1
21531892	-1	-1
16620754	-1	-1
25947915	-1	-1
31694180	-1	-1
18896010	-1	-1
32509864	-1	-1
28803956	-1	-1
32074328	-1	-1
17776274	-1	-1
8169550	-1	-1
31025220	-1	-1
29136246	-1	-1
31264222	-1	-1
29631172	-1	-1
90939	-1	-1
29261804	-1	-1
23329211	-1	-1
4248766	-1	-1
30295048	-1	-1
31339814	-1	-1
27374300	-1	-1
31105998	-1	-1
25334988	-1	-1
30800968	-1	-1
22930838	-1	-1
30494222	-1	-1
